N,P,K,temperature,humidity,ph,rainfall,label
4.81,112.72,196.36,14.623279,95.467244,6.894849,125.851701,apple
5.46,86.74,15.76,17.10277,62.744834,7.310874,45.704004,lentil
72.5,53.97,46.36,26.485522,81.96914,6.001976,154.696911,jute
12.93,63.64,24.33,31.554294,61.483084,4.53264,59.76277,mothbeans
12.46,58.94,26.78,24.678511,67.387498,6.542031,37.817079,lentil
13.17,27.73,41.3,29.148977,93.090332,7.660635,122.749824,coconut
22.75,58.84,22.34,31.137138,66.400947,7.1867,83.384528,blackgram
89.94,64.59,40.59,26.807975,86.032764,7.068764,173.377573,jute
11.86,42.07,15.61,28.146879,92.534965,7.367981,33.28906,mungbean
110.47,37.52,22.36,23.741591,81.058126,7.193895,83.565107,cotton
109.65,36.78,56.3,33.496698,91.763635,6.667952,53.295173,watermelon
7.88,103.29,218.16,12.642973,92.353802,6.27789,124.284072,apple
11.02,133.46,213.16,18.345571,89.744734,6.698747,74.203828,grapes
14.03,9.98,33.9,25.678275,94.879376,6.249848,191.331563,coconut
10.08,107.63,210.59,22.183081,93.986211,6.737966,63.779372,grapes
113.02,18.37,55.79,33.900122,85.879257,6.429883,59.696459,watermelon
66.21,52.04,35.79,21.895311,87.099047,6.970307,241.731541,rice
2.04,42.89,33.56,33.516192,50.914138,6.53417,103.036771,mango
23.55,35.83,25.67,27.433318,48.919652,4.708754,101.677849,mango
90.75,19.15,39.5,26.57048,61.888047,6.802314,190.619604,coffee
6.85,39.98,37.57,21.369542,90.642137,5.667211,127.40676,pomegranate
97.03,84.02,52.13,28.789344,89.174952,5.594057,97.143677,banana
18.67,137.63,206.24,24.540577,89.634176,6.810488,64.92114,grapes
97.44,44.79,35.6,23.708129,75.643436,6.604259,189.85767,jute
13.39,16.04,14.57,14.748236,95.436645,6.00789,106.471329,orange
123.93,50.75,22.13,26.872293,83.753554,7.719428,73.267732,cotton
32.47,40.71,30.34,36.028182,57.730991,5.561217,116.360008,mango
46.14,62.74,61.7,37.549786,93.722857,7.944816,160.226249,papaya
114.43,24.38,52.47,30.976944,92.282911,6.860667,20.105069,muskmelon
28.68,50.01,28.15,27.40529,50.204333,3.797005,55.345934,mothbeans
78.03,40.4,57.34,26.489705,85.645803,6.235079,177.843239,jute
39.03,58.75,80.63,24.489415,24.74912,5.972721,61.964706,chickpea
11.98,41.9,15.37,28.730292,61.133524,4.35422,57.221665,mothbeans
4.43,22.53,35.05,34.349014,95.951573,6.241872,170.922899,pomegranate
96.08,14.37,56.81,31.706005,86.059949,6.40603,51.466228,watermelon
37.43,71.93,23.52,25.51312,56.025149,3.715583,52.926547,mothbeans
104.43,40.48,16.9,25.319571,76.601977,6.693904,67.29793,cotton
49.59,59.84,44.62,38.683352,90.994372,7.362773,158.316663,papaya
97.35,43.83,48.11,30.244312,89.279024,6.851221,52.184003,watermelon
23.58,74.61,19.77,29.31905,62.216718,6.293741,66.611171,mothbeans
96.64,36.91,31.12,23.883967,83.709223,6.744685,271.237721,rice
0.09,22.41,43.63,31.215456,90.673414,7.968948,198.046814,coconut
1.16,56.26,24.74,30.313826,49.49986,5.077427,51.084131,mothbeans
29.25,65.07,21.41,29.613585,55.148805,3.57129,55.091374,mothbeans
88.23,49.05,23.54,18.451147,73.717482,6.756214,65.875219,maize
83.75,53.48,53.85,26.622189,82.533834,6.385114,164.25738,rice
93.06,56.84,15.78,20.706968,65.438369,5.972124,88.204757,maize
4.87,5.64,36.33,29.012395,93.861131,5.913525,195.316868,coconut
19.87,13.06,18.53,18.060509,90.476047,6.501238,106.571289,orange
9.11,30.76,30.42,24.793769,93.55132,7.319954,143.83366,pomegranate
3.92,63.8,21.21,18.382122,21.033945,5.89782,123.564101,kidneybeans
84.51,23.82,52.0,29.743162,94.585273,6.470018,58.288523,watermelon
15.88,62.97,23.26,31.185402,82.706984,6.302328,46.528932,mungbean
23.66,53.03,23.06,29.680854,64.906684,6.165241,99.244477,blackgram
95.88,30.87,37.22,21.001153,87.767679,5.797306,286.595734,rice
85.04,40.82,45.38,25.15694,88.864029,6.881586,225.544939,rice
108.52,37.11,19.19,23.6418,76.69304,6.04768,69.006189,cotton
102.46,46.62,24.44,24.112783,77.013687,7.20093,89.395622,cotton
20.29,74.1,15.15,34.153969,54.098505,6.908537,128.67439,pigeonpeas
18.02,21.77,11.25,12.738117,92.664627,6.714076,121.414671,orange
14.74,51.49,19.92,33.698567,73.754349,6.735598,98.253598,blackgram
6.68,53.65,29.06,24.708171,69.243859,6.878637,54.997186,lentil
84.67,92.97,48.74,28.683839,79.006369,6.743396,98.667084,banana
33.33,35.63,29.01,34.668482,48.742503,6.398721,102.695903,mango
99.07,49.55,16.92,22.247769,56.028383,6.508397,77.666885,maize
14.04,144.65,217.23,3.346685,94.361859,5.942435,100.905297,apple
5.72,20.14,32.65,28.025267,87.114861,6.768372,119.009236,pomegranate
24.0,19.56,38.1,31.381619,50.015843,5.102314,112.933199,mango
126.23,57.34,24.66,29.234865,81.20175,6.411528,88.303535,cotton
2.82,57.33,15.02,31.757485,85.004519,7.119156,53.092505,mungbean
0.82,90.63,21.77,32.895582,45.134316,5.576399,175.132378,pigeonpeas
8.66,77.56,96.39,19.360154,20.257172,6.079668,82.171423,chickpea
14.99,100.86,206.81,13.441529,93.035558,6.943219,119.574639,apple
102.47,33.24,27.35,26.748396,66.329462,6.412268,180.223264,coffee
8.88,60.13,24.89,32.80919,60.21906,5.632551,120.525985,pigeonpeas
88.77,55.71,49.89,25.834235,84.229829,6.592438,163.538404,jute
83.32,43.48,62.39,26.067039,82.192211,7.476961,197.659725,jute
70.0,56.35,46.38,25.788863,82.407385,6.782444,186.490195,jute
53.27,55.93,59.91,33.498313,94.722797,8.22892,157.409992,papaya
25.04,54.82,15.88,18.251297,72.349382,7.243849,58.463172,lentil
18.95,110.75,204.24,21.82993,86.643296,5.851938,67.370709,grapes
79.47,44.72,58.13,24.002096,84.734894,5.900463,199.73535,rice
12.05,19.44,5.75,10.594964,95.091021,6.158348,107.255323,orange
19.74,44.22,19.12,34.800126,85.027009,7.088563,38.512743,mungbean
27.94,33.26,33.8,33.49742,58.542425,6.500709,112.97036,mango
2.8,78.74,22.01,23.528537,21.025481,6.097967,128.312843,kidneybeans
1.07,132.55,205.7,10.684205,84.42689,6.25172,66.593029,grapes
6.87,45.37,28.02,30.369999,89.863682,7.174519,54.843684,mungbean
11.99,13.37,14.83,11.456976,96.958809,7.158065,112.517543,orange
31.72,82.89,19.52,28.103626,64.335279,5.878424,144.712555,pigeonpeas
106.61,78.68,51.07,30.298295,86.94986,6.192719,103.664492,banana
81.26,33.15,41.96,26.421364,86.308322,5.76626,200.828345,rice
7.79,84.16,22.25,29.393501,47.242463,6.036609,109.993181,pigeonpeas
7.29,37.27,38.92,23.459898,91.340281,6.291985,109.589814,pomegranate
115.89,39.82,39.61,27.080632,59.472136,6.875331,157.42479,coffee
118.87,45.35,54.68,36.128173,90.492313,6.572272,29.242984,muskmelon
17.58,73.22,24.76,32.018817,66.04259,6.352418,81.271154,blackgram
43.44,75.96,57.63,34.419628,92.557262,6.586253,159.481289,papaya
58.65,89.76,46.91,38.512753,93.630194,8.184239,150.100636,papaya
13.02,16.32,37.6,34.565649,89.935377,5.588915,121.95849,pomegranate
32.92,95.11,28.16,26.636366,19.055026,6.897736,134.272791,kidneybeans
9.11,80.37,82.16,17.169248,17.479976,5.854003,86.234914,chickpea
17.73,54.69,28.03,26.108044,84.360074,6.794701,40.923251,mungbean
0.93,41.15,22.58,33.862183,85.257273,7.162787,49.866388,mungbean
11.45,21.45,39.06,32.469993,57.596419,5.953099,99.337888,mango
35.18,76.27,29.57,30.53013,50.418408,5.977951,103.731029,pigeonpeas
83.62,15.07,48.27,31.020294,90.077117,6.950144,21.238191,muskmelon
37.26,20.97,28.59,34.487141,55.885792,6.247954,81.045085,mango
39.83,51.8,26.84,30.111143,56.788166,6.950486,59.619616,mothbeans
29.83,58.8,26.62,30.899852,47.215006,5.159011,175.083633,pigeonpeas
99.54,32.9,64.98,35.123268,95.940132,6.346388,25.089147,muskmelon
61.8,43.05,59.77,26.241741,87.48608,6.836189,284.016996,rice
13.78,33.18,52.98,31.685021,89.765096,6.047213,149.988166,pomegranate
116.51,46.72,53.42,31.040031,92.667249,6.989339,26.187962,muskmelon
0.14,57.82,16.64,25.953535,52.034048,6.402542,179.064881,pigeonpeas
16.61,119.57,207.41,2.63958,94.302759,5.943637,115.228742,apple
20.07,50.15,28.83,30.07324,87.260885,6.408733,49.764503,mungbean
75.7,32.4,52.66,23.036453,84.693269,5.726009,177.138998,rice
29.87,75.83,24.06,21.564587,17.371277,5.649928,139.299755,kidneybeans
16.95,143.41,201.49,11.079456,91.997621,6.41643,124.143688,apple
71.46,57.74,30.75,23.886386,86.339751,5.658846,171.05094,rice
15.16,43.95,38.86,35.466142,53.108994,5.097599,108.515194,mango
54.25,70.75,59.09,33.490478,90.503218,7.252445,147.821506,papaya
33.15,45.55,28.65,29.84571,56.37775,5.285582,41.080747,mothbeans
129.71,54.83,23.64,24.817191,79.508348,6.443009,60.729284,cotton
9.37,30.51,49.02,25.134389,88.131155,6.481663,127.354931,pomegranate
39.02,75.74,24.64,34.186646,49.973493,6.773116,109.754471,pigeonpeas
48.71,61.07,51.24,35.905022,90.149197,7.812512,161.469977,papaya
26.75,83.53,23.49,22.120581,62.659006,6.537206,53.750644,lentil
91.5,64.96,22.32,22.16666,61.430914,6.623231,100.069472,maize
19.32,68.26,75.45,19.892792,18.306575,5.679506,63.097443,chickpea
80.12,19.44,48.86,31.709212,96.220178,6.387853,28.451876,muskmelon
102.45,56.76,18.06,23.666975,80.215264,6.246551,83.192796,cotton
21.27,65.73,26.61,24.88281,24.598451,6.843257,126.060955,kidneybeans
12.83,76.13,86.91,20.478078,16.515102,6.943814,66.754922,chickpea
2.61,33.0,23.85,33.095792,86.835553,6.667254,47.678631,mungbean
82.8,26.85,33.83,27.119401,63.897894,6.751542,197.199502,coffee
92.23,43.41,37.68,26.826146,57.555861,6.018901,171.424669,coffee
13.48,23.68,5.93,19.939142,90.38094,7.238622,122.208068,orange
93.88,39.08,58.72,27.416471,94.745583,6.648708,52.115594,watermelon
9.21,27.07,9.59,16.27532,96.463195,6.257544,124.021857,orange
19.76,129.8,204.66,11.780173,91.17814,5.890435,63.247402,grapes
117.79,19.25,36.79,27.528919,56.596741,6.950794,198.265682,coffee
34.65,96.51,23.35,27.026778,58.704949,6.097956,194.452967,pigeonpeas
20.02,20.31,33.25,33.348402,56.029978,5.108052,115.039894,mango
16.28,138.17,214.43,7.958337,95.795155,6.809924,114.414538,apple
28.06,22.52,36.08,30.183862,53.311339,6.148319,118.912322,mango
6.99,29.6,37.01,29.323962,93.262927,7.082002,142.01245,pomegranate
94.94,27.4,41.44,29.565061,56.545356,6.420177,183.913154,coffee
16.05,78.81,15.01,26.618694,46.871328,6.099347,132.907487,pigeonpeas
93.78,32.32,42.55,26.255416,64.024816,6.916976,163.325354,coffee
8.99,112.61,218.37,8.326686,82.613763,6.740432,71.013035,grapes
102.65,49.06,18.31,29.671303,82.55471,7.014029,72.893322,cotton
7.24,11.82,30.21,22.328068,86.082506,6.72178,152.586523,pomegranate
64.38,70.01,63.15,34.549967,90.52223,8.334611,171.597361,papaya
8.67,134.22,191.47,4.69337,94.79101,5.994468,102.356058,apple
10.02,78.93,19.59,25.235281,63.823514,6.256807,80.273079,blackgram
37.76,74.21,28.52,25.983166,45.859153,6.442738,176.102157,pigeonpeas
81.11,48.31,50.8,25.549799,80.082326,6.856892,57.264148,watermelon
44.53,88.97,57.87,37.535412,90.676554,6.536392,159.058627,papaya
34.51,70.04,26.44,30.834936,74.870971,6.362115,70.491646,blackgram
8.51,112.26,199.75,24.866179,93.855161,5.613848,73.131013,grapes
5.2,58.4,25.44,19.057136,73.378323,7.15717,54.968505,lentil
73.1,41.38,50.57,22.078135,89.488579,6.874522,222.136564,rice
89.3,42.15,35.53,29.151233,59.920592,6.527119,157.217861,coffee
48.85,75.16,56.39,39.876685,96.999631,6.580465,147.080677,papaya
5.24,52.07,97.82,19.126475,19.544703,5.681404,76.946205,chickpea
84.95,43.57,45.56,26.486276,57.477961,6.936414,162.006438,coffee
64.36,48.09,53.35,23.409346,77.22924,7.490222,166.611708,jute
35.03,51.81,21.38,34.54929,62.109908,6.002209,42.068169,mothbeans
8.68,38.4,43.36,23.20476,89.947519,5.905784,187.802927,pomegranate
44.05,66.93,51.43,35.523078,91.949546,7.929504,161.624534,papaya
25.94,90.23,24.22,29.955348,57.346942,5.303327,121.557071,pigeonpeas
4.6,123.45,219.75,5.66082,90.422853,5.937452,107.257609,apple
28.96,91.87,16.21,25.938699,24.177655,6.804526,141.905713,kidneybeans
5.93,28.63,12.61,13.643519,92.830185,6.677733,126.034912,orange
31.83,57.65,18.17,26.078564,60.703936,5.287648,42.704109,mothbeans
87.77,47.43,35.99,25.628872,87.154071,6.608476,169.658663,rice
39.93,49.14,27.1,33.624784,84.539231,6.0631,42.142452,mungbean
98.79,31.21,55.41,24.653928,80.770704,6.601168,52.477293,watermelon
17.55,33.19,31.02,34.199071,85.513116,6.677517,157.535362,pomegranate
10.89,14.64,39.08,32.866546,93.378836,6.276261,166.193518,coconut
7.8,9.76,41.05,28.795206,96.210374,6.064005,187.177068,coconut
75.45,45.26,46.65,23.055589,92.725213,7.46602,193.12481,jute
6.78,28.85,32.5,22.007941,85.282741,7.33328,131.138274,pomegranate
13.19,96.6,25.23,26.771314,20.752213,6.306156,129.226925,kidneybeans
20.63,60.93,28.87,30.82089,51.977021,4.900233,44.004875,mothbeans
63.36,53.48,56.6,26.105916,85.597551,6.867447,184.47748,jute
8.87,86.7,27.41,23.341106,22.322263,6.007887,126.775001,kidneybeans
88.53,53.21,55.96,25.17602,88.008716,5.573446,185.180273,rice
33.05,78.62,16.92,18.561154,69.556626,6.789416,33.582988,lentil
42.78,82.16,63.07,33.479495,90.848748,7.90395,161.156588,papaya
14.78,31.45,36.67,28.783594,94.408428,5.999045,173.597978,pomegranate
12.48,20.6,6.86,16.989654,91.960185,6.77888,128.641678,orange
19.26,86.87,79.74,20.746564,24.5842,6.401153,67.235377,chickpea
82.37,62.79,61.64,27.245287,79.590402,6.797172,186.81183,jute
5.1,31.47,50.16,27.677951,87.115124,7.189535,136.750835,pomegranate
105.94,40.75,22.95,27.362882,82.609288,6.195546,73.743128,cotton
5.73,78.15,17.17,29.740759,50.151677,3.767266,46.069259,mothbeans
19.3,66.96,23.17,29.151206,93.873279,6.097824,57.963403,mungbean
19.25,142.7,200.96,22.678374,91.88709,6.663698,77.925615,grapes
4.61,41.74,18.57,29.425276,89.624011,6.65013,37.336097,mungbean
24.61,84.75,20.43,21.393125,67.738356,7.403791,34.947462,lentil
138.93,47.08,16.78,29.784511,84.608821,6.87145,70.44558,cotton
29.88,56.54,27.1,26.432166,22.458789,6.565539,142.815197,kidneybeans
37.9,27.4,29.9,31.871082,50.805238,6.323823,118.484644,mango
88.2,45.11,50.83,30.845566,91.909415,6.767456,27.061187,muskmelon
23.51,85.9,21.64,19.406622,17.937363,6.999648,127.321127,kidneybeans
14.69,21.05,12.5,19.875533,96.714154,7.273279,123.259576,orange
26.88,86.98,29.77,31.780116,45.803631,6.734011,136.467829,pigeonpeas
95.61,54.1,17.14,27.355419,56.189734,5.822767,89.288566,maize
84.87,56.92,58.82,27.557116,76.610317,6.857324,187.438842,jute
91.37,34.3,45.22,25.632061,69.382253,6.891887,198.335848,coffee
100.89,54.46,24.84,27.61683,80.901392,7.816132,67.64862,cotton
89.25,63.49,18.55,19.046151,73.079466,6.798359,99.904872,maize
21.34,77.82,17.93,20.490872,66.669825,6.715979,46.951483,lentil
26.97,76.25,24.79,26.271987,17.904698,5.973647,104.347298,kidneybeans
7.57,35.96,32.75,29.366054,87.027158,7.193079,157.904395,pomegranate
43.42,55.04,59.01,33.221977,90.366135,8.309287,164.639899,papaya
83.65,50.42,41.81,22.225938,85.045262,6.812507,277.669744,rice
6.57,60.96,29.31,27.848647,52.104086,5.644161,189.825045,pigeonpeas
98.02,15.72,64.53,28.154921,90.070511,6.373441,26.203763,muskmelon
1.84,48.51,27.22,32.29682,86.903209,6.892054,43.087396,mungbean
30.56,74.81,28.79,18.293332,17.602802,6.10491,104.816639,kidneybeans
87.61,44.9,20.02,21.76734,67.374296,5.560143,83.08636,maize
65.8,62.68,43.57,27.182756,92.867684,6.976835,179.915038,jute
38.65,76.1,28.65,25.143054,17.528468,6.143648,141.899104,kidneybeans
39.61,71.07,85.56,23.879764,24.262268,5.907721,81.141669,chickpea
131.28,42.6,20.79,29.488793,81.250713,7.422317,86.279536,cotton
17.94,73.13,27.74,27.223414,62.254724,4.882904,64.002342,mothbeans
2.73,130.88,205.08,14.019188,96.75568,6.651461,107.274843,apple
79.8,67.2,64.75,34.136029,92.74718,8.30393,170.684342,papaya
19.33,35.92,42.84,24.558132,92.622727,6.369602,180.334953,pomegranate
117.37,56.07,16.61,27.160062,78.999082,7.971583,81.641524,cotton
8.59,33.69,28.35,30.627064,55.318303,5.784178,103.891235,mango
4.62,127.72,213.07,13.583278,92.282508,6.828056,77.101399,grapes
22.29,17.1,28.41,33.228592,49.584939,5.036805,89.15386,mango
109.65,27.9,38.18,26.368154,57.911585,6.650451,159.876886,coffee
114.18,34.52,40.75,26.489939,58.633193,6.47475,165.701946,coffee
132.15,59.61,17.97,25.279284,77.789799,6.309656,83.623327,cotton
21.54,47.37,22.43,25.677132,49.585258,5.642782,47.913581,mothbeans
11.5,28.34,30.83,30.124916,95.647683,7.075154,180.118254,coconut
12.5,17.15,39.58,28.565117,90.915913,7.587306,186.243755,coconut
9.14,18.79,38.45,31.528718,95.242502,5.620255,128.831299,coconut
18.39,140.32,202.6,3.867827,95.521557,6.58747,115.160195,apple
19.25,26.1,17.62,11.990151,91.880747,6.894074,119.684122,orange
34.95,21.05,39.13,34.633244,49.419841,5.762287,88.919571,mango
36.96,33.24,42.87,28.102252,58.880883,5.800123,106.736877,mango
19.29,7.95,17.55,19.083382,95.758729,7.213262,110.8393,orange
104.72,87.58,52.42,34.057282,87.317877,6.716779,126.971908,banana
11.38,123.15,204.82,6.010063,95.725764,6.516251,123.210704,apple
6.39,141.08,208.7,22.721388,85.852715,6.741156,61.130738,grapes
4.49,73.55,23.32,28.071313,69.126756,6.498152,77.93431,blackgram
27.71,51.25,18.94,22.173478,17.278953,6.426504,140.698637,kidneybeans
10.49,101.02,199.1,18.569403,82.352224,6.376102,67.23196,grapes
104.11,45.4,20.74,27.269197,83.356078,7.082814,66.711314,cotton
4.67,86.95,17.61,19.948974,66.839773,6.624443,30.619029,lentil
99.21,80.98,53.49,34.083371,82.543412,6.87458,123.007623,banana
10.97,69.17,19.64,29.941561,61.771577,5.387466,58.510687,mothbeans
17.34,126.52,209.35,3.559734,94.746784,6.061967,101.292479,apple
77.81,61.8,57.13,24.097216,88.14333,6.198383,159.703193,jute
32.64,51.49,18.96,17.456471,70.011435,6.868371,49.561454,lentil
107.52,26.33,29.65,26.061297,56.908417,6.43975,155.136802,coffee
10.01,21.13,17.33,14.631102,91.658007,6.735989,107.506243,orange
16.82,50.61,16.05,18.562217,71.539949,7.39204,46.369226,lentil
18.96,56.52,15.94,25.037255,64.871282,6.884296,78.209214,blackgram
115.86,100.73,59.84,31.679232,81.228958,6.104862,138.535949,banana
28.21,53.36,15.58,23.883574,20.051143,6.483189,105.641272,kidneybeans
17.37,32.05,54.35,33.439053,87.800019,6.818118,102.054303,pomegranate
98.73,54.37,54.0,25.762325,87.151067,6.918177,152.120413,jute
77.4,79.05,53.19,34.861654,94.542825,7.683441,163.91655,papaya
36.47,81.98,17.0,22.973799,66.277962,6.515397,45.85102,lentil
10.0,26.77,41.7,25.099563,92.864785,7.48381,120.015825,coconut
31.69,87.65,28.39,25.251954,19.225404,6.333816,117.844718,kidneybeans
27.47,76.96,29.02,21.468728,24.522767,5.612709,144.389866,kidneybeans
2.93,47.13,16.51,32.412942,60.374737,4.152594,46.578153,mothbeans
79.42,82.66,59.87,39.008207,96.882876,7.383126,165.953876,papaya
39.24,51.69,77.8,21.375902,15.614176,6.172572,99.505898,chickpea
108.08,35.84,51.84,27.919555,83.700836,6.961915,57.204027,watermelon
10.95,16.36,35.8,35.308809,56.536676,5.594474,87.844814,mango
29.11,18.81,43.75,32.823702,50.000436,5.492849,109.01618,mango
62.0,50.27,21.92,24.227087,70.016772,6.690453,70.597731,maize
104.48,105.99,45.02,27.289338,78.148793,5.685829,99.966073,banana
77.74,36.82,46.64,20.446721,88.276312,6.447497,263.713161,rice
25.62,61.85,16.86,28.31998,52.013207,6.463918,51.365277,mothbeans
0.71,131.92,224.46,3.870794,93.244259,6.041912,111.714025,apple
10.03,68.25,17.25,25.848939,22.419075,5.70068,141.63156,kidneybeans
34.53,50.02,15.84,19.915075,70.303474,6.841704,31.989385,lentil
39.95,58.96,71.48,19.003465,16.891585,6.664889,99.740901,chickpea
35.51,81.51,22.81,21.857336,21.179615,5.813916,149.376153,kidneybeans
110.49,45.65,15.95,27.948693,83.29193,6.6148,76.994305,cotton
28.94,94.11,28.6,28.374897,57.219174,6.217616,126.729967,pigeonpeas
11.0,52.6,62.2,21.653818,14.238958,7.197584,66.215885,chickpea
35.02,61.36,91.51,20.062265,24.779764,7.26706,72.052814,chickpea
107.61,26.51,61.79,29.730154,90.096788,6.388082,27.360641,muskmelon
10.01,127.93,204.2,15.332174,83.959154,6.303021,64.389125,grapes
39.32,77.44,16.56,18.586384,72.393684,7.496757,32.950178,lentil
9.25,109.46,203.42,14.074462,92.54488,6.635076,127.690131,apple
32.01,43.61,17.25,26.867548,88.369077,7.269272,32.119521,mungbean
25.95,98.56,15.86,34.228644,56.356228,6.408794,114.918418,pigeonpeas
7.14,86.16,81.98,18.200317,16.230695,6.819972,88.992673,chickpea
127.11,43.55,21.59,25.885743,75.090331,6.462553,61.271587,cotton
25.62,58.06,95.52,23.494019,17.8452,6.657219,65.641092,chickpea
39.25,82.79,24.15,34.866982,46.768775,6.949002,120.401315,pigeonpeas
6.15,102.95,199.27,14.947588,94.884049,6.08948,61.783908,grapes
3.66,119.35,199.87,9.735128,94.834212,6.289582,118.335919,apple
16.71,62.87,22.54,19.366216,20.167369,6.348685,124.804495,kidneybeans
5.66,65.55,16.45,31.325712,60.94395,7.416721,68.309229,blackgram
37.13,67.87,21.25,28.63734,72.286183,6.966908,63.090641,blackgram
32.78,84.43,25.65,32.161309,62.501998,6.227211,127.821715,pigeonpeas
111.18,23.71,39.58,31.415123,64.738884,6.17832,190.8505,coffee
6.2,56.62,22.17,21.859084,62.646034,7.212497,38.430378,lentil
123.71,46.34,21.47,28.29195,84.495438,6.699761,64.893143,cotton
3.12,7.29,18.31,13.767017,93.66344,7.153032,111.144953,orange
1.63,33.96,52.13,26.791244,87.676908,5.587943,159.108282,pomegranate
1.63,6.35,5.37,11.528724,95.999993,7.197239,125.367215,orange
8.62,130.78,211.31,14.580807,90.972327,6.360279,101.897205,apple
17.03,59.48,17.77,25.040109,52.568208,6.833001,58.454068,mothbeans
112.39,24.66,31.34,29.706168,60.981478,6.835479,183.722121,coffee
8.19,67.18,20.36,24.3016,73.796661,7.150886,33.322204,lentil
65.12,49.63,12.9,19.032835,72.322892,6.383997,77.93364,maize
77.95,51.79,23.13,27.755956,72.457179,5.788451,71.039896,maize
14.1,39.06,54.14,24.841749,93.430945,6.13371,162.919794,pomegranate
110.05,39.04,47.21,37.994661,96.593228,6.896592,26.222891,muskmelon
97.82,51.77,23.86,23.789775,55.092376,5.557813,94.02094,maize
18.96,63.61,16.05,25.182311,82.299373,6.766905,54.347902,mungbean
88.93,60.89,59.45,24.381736,94.858733,7.405498,171.508731,jute
64.63,51.7,24.98,19.925908,58.079272,6.1342,90.983426,maize
11.32,66.9,16.46,20.610244,60.647115,6.503946,57.944968,lentil
24.26,67.79,77.71,17.574377,22.830275,7.286105,60.440667,chickpea
21.32,57.52,22.08,32.138607,93.967729,6.525447,30.366464,mungbean
10.31,6.24,28.14,27.711161,90.892796,7.802289,143.065535,coconut
4.28,19.56,32.09,31.370303,93.834842,5.53904,178.778713,coconut
137.02,40.21,16.96,26.853333,84.955164,6.980305,69.927149,cotton
16.27,97.13,29.26,21.700829,23.006572,6.185118,145.207632,kidneybeans
9.44,80.53,97.2,20.983455,21.072983,7.234345,99.953185,chickpea
21.51,57.52,22.11,30.389585,47.101194,6.676936,42.132622,mothbeans
90.35,28.99,40.73,27.820095,55.462915,6.222616,189.923641,coffee
12.63,54.36,29.96,25.302192,68.960039,6.975318,87.271574,blackgram
126.36,45.79,17.48,28.929728,79.956806,7.989315,83.800735,cotton
69.79,44.84,24.1,26.879888,70.547174,6.276492,84.530396,maize
35.41,66.9,24.64,26.08745,48.702219,6.877997,57.965751,mothbeans
23.78,81.92,26.66,23.950414,64.393541,6.965751,30.280037,lentil
22.71,53.46,17.55,18.622243,23.550928,5.93209,143.424717,kidneybeans
119.29,94.26,53.05,30.437688,75.607906,5.760476,127.401595,banana
103.81,38.98,48.36,32.057505,94.245887,6.743176,55.694304,watermelon
0.53,108.78,191.96,17.032833,80.594409,6.703969,69.859241,grapes
8.08,64.03,21.15,22.567469,72.682799,7.220918,35.219627,lentil
25.07,52.12,19.76,33.728055,68.732506,6.617962,78.604077,blackgram
88.68,43.48,38.17,20.674737,89.026024,6.183664,180.354505,rice
19.99,20.47,36.11,24.743355,86.026809,6.288092,101.742505,pomegranate
34.54,16.7,32.98,35.566151,50.89765,4.794689,90.63798,mango
18.57,24.95,29.68,27.977783,92.670607,6.216253,185.387429,coconut
100.97,45.78,16.7,28.729858,77.610973,7.887386,89.154269,cotton
39.18,56.92,16.21,27.559308,50.80343,3.549443,42.857008,mothbeans
19.57,33.01,25.17,32.906015,92.198303,7.471893,50.160472,mungbean
0.95,60.05,15.65,23.566235,68.721105,7.013719,46.633496,lentil
9.78,101.34,190.31,19.992705,81.774404,6.321712,73.92015,grapes
32.16,59.56,19.63,30.653165,45.859503,5.158634,169.611636,pigeonpeas
81.47,76.31,64.06,30.754031,82.334402,6.076486,132.505209,banana
62.39,65.04,12.34,23.348982,73.314897,6.351172,79.861665,maize
82.04,105.36,61.53,30.466842,75.336082,6.343644,93.275343,banana
106.58,11.34,60.88,33.085428,90.526397,6.680752,24.993518,muskmelon
14.49,125.53,204.05,19.799129,92.848899,6.668116,70.907586,grapes
39.76,85.07,28.69,19.276505,63.301524,6.925867,43.599581,lentil
81.89,25.14,57.26,31.223487,92.424136,6.420732,50.965156,watermelon
118.38,93.02,56.78,27.114711,86.474808,6.605897,95.709478,banana
13.62,108.05,212.57,6.989504,95.877627,6.227498,127.894118,apple
32.65,42.33,40.74,32.827819,53.121749,6.11154,91.513212,mango
34.24,68.37,26.94,28.295335,55.463572,3.617192,51.489938,mothbeans
82.47,85.07,61.2,32.196853,89.210756,6.140523,132.468084,banana
1.79,26.22,6.91,12.624501,96.955129,6.285313,103.034266,orange
14.27,19.48,11.37,19.931117,92.033183,6.619716,127.085831,orange
17.06,130.16,200.1,14.62528,93.997039,6.275133,112.105289,apple
93.68,51.22,53.34,24.01253,76.541293,7.038497,181.0338,jute
38.95,41.14,29.29,29.411833,50.171612,5.478786,102.119805,mango
65.38,46.08,45.43,26.003005,84.627994,6.077634,245.934491,rice
10.69,100.08,219.69,14.152733,82.102377,6.156874,69.723546,grapes
23.98,88.13,79.76,19.402175,19.249562,6.219333,68.976636,chickpea
58.19,67.18,58.36,34.504053,94.420461,7.113388,153.367077,papaya
91.35,53.15,17.14,27.947017,68.49195,6.721958,105.127698,maize
98.2,30.61,60.88,30.244711,94.969305,6.71077,28.495528,muskmelon
